rank,node,importance,in_degree,out_degree,pagerank,clustering,community
0,4037,0.6567256211682939,457,15,0.004612715891167545,0.02526293060791176,1
1,2565,0.54852155847747,274,893,0.0015503503379620098,0.035880451416298795,1
2,15,0.5328746274781093,361,50,0.0036812207295292714,0.03357983073581255,3
3,2625,0.47070824319695004,331,0,0.0032863743692308997,0.05174402636638286,0
4,2398,0.44229493622852284,340,62,0.0026053331717250205,0.057431468175669804,4
5,1549,0.4218620342632603,245,587,0.0012421979673656227,0.05272508420041435,0
6,6634,0.40527909305617993,203,3,0.003524813657640258,0.046393217448965095,1
7,2328,0.3942900121370375,266,215,0.002041628886088917,0.06728402551480274,4
8,3352,0.390342884483134,264,273,0.0017851250122027217,0.07534965521076632,4
9,2237,0.38118709789850524,181,241,0.002504703800483991,0.06619667552592459,4
10,1297,0.37674764894861085,309,76,0.001951860821612229,0.06758969778174781,0
11,4191,0.35187130923332227,259,20,0.0022662633042363433,0.06262894573963276,3
12,737,0.35055928610793036,231,232,0.0017365555312247151,0.04618650407720506,1
13,5254,0.3489959724584354,265,33,0.0021500675059293226,0.04723590833069656,3
14,762,0.32843010315720156,272,50,0.0017478626294191988,0.05659208794611752,0
15,3456,0.3257104535089181,223,241,0.0014108878727557002,0.07486075666412086,3
16,4335,0.3091734499976465,228,32,0.0019353014475784864,0.05946050325302279,3
17,2654,0.3086174435913411,213,104,0.001769320714348241,0.07813623651618058,4
18,1166,0.30696188819559944,144,599,0.0005700765950669338,0.048779381563001184,4
19,2066,0.3020668575096144,254,0,0.0017190133175865345,0.07323145871588185,4
20,2535,0.2960429021644171,232,47,0.0016682067978015195,0.06481027678179896,3
21,3089,0.2944888717271816,244,4,0.0016993720805897233,0.0669670552127208,3
22,5412,0.2937605855882433,219,0,0.0019167080775239903,0.06826274559088434,3
23,7553,0.293580896465112,190,0,0.0021701850491959583,0.06237816764132553,1
24,2470,0.29059797852221353,149,0,0.0025301053283849502,0.02557591148195175,0
25,5079,0.28613660800979973,165,271,0.0012961508663821581,0.0639023978563818,1
26,7620,0.28602135055229266,208,0,0.0019301193957548775,0.05279171311780007,1
27,1186,0.2827784480171588,193,0,0.0020438936876029136,0.03154684801381693,0
28,993,0.2814986484817526,181,238,0.0012035351707928498,0.07592708988057825,0
29,4310,0.27932426074453864,131,278,0.0014598839350747042,0.07376587249247593,3
30,2485,0.2778018925458838,160,324,0.0010286924805163497,0.07018752621173087,4
31,5524,0.2758700426824569,149,389,0.000866705211992657,0.06537982134201233,1
32,3334,0.27470980239909826,217,13,0.0016535779185613184,0.056355143735996656,1
33,2871,0.27009379182640364,162,282,0.0010634725736072082,0.07087639352266255,4
34,4712,0.26968143541510375,197,121,0.0013347959975447954,0.07957049004624575,3
35,2651,0.26873192042937066,162,269,0.0010996260440959374,0.0659160342426565,4
36,7632,0.26533094837926097,178,0,0.0019037739909136616,0.0630356122643306,1
37,4875,0.26302629438736175,181,0,0.0018675748225119072,0.04806629834254143,1
38,1211,0.2579098569540652,188,79,0.0014177146901320052,0.07490420376422856,0
39,2576,0.25745629580775165,192,146,0.0011406284132013619,0.06911240316885946,4
40,7092,0.25505989505722193,155,93,0.001597387253434404,0.08600182982616651,1
